"ONTOLOGY","TERM","N","DE","P.DE","FDR"
"BP","modification-dependent protein catabolic process",716,32,0.433126951757674,1
"BP","modification-dependent macromolecule catabolic process",721,32,0.454700080687134,1
"BP","response to lipid",977,31,0.949741519393632,1
"BP","carbohydrate derivative metabolic process",990,31,0.948352368394966,1
"BP","intracellular monoatomic ion homeostasis",537,30,0.0887135299259793,1
"BP","gamete generation",837,30,0.691659471075407,1
"BP","lipid biosynthetic process",744,30,0.614273259392468,1
"BP","response to hormone",924,30,0.976718054987731,1
"BP","intracellular monoatomic cation homeostasis",528,30,0.0712200462786324,1
"BP","regulation of MAPK cascade",677,30,0.523685945531779,1
"BP","inorganic ion homeostasis",545,30,0.112026062507271,1
"BP","cytokine production",898,29,0.754241142779379,1
"BP","chromatin remodeling",658,29,0.431657967901665,1
"BP","blood circulation",560,29,0.216185103943439,1
"BP","proteasomal protein catabolic process",633,29,0.342287024829372,1
"BP","regulation of cell cycle process",765,29,0.728647502990547,1
"BP","cell projection assembly",616,29,0.50650408282039,1
"BP","regulation of protein modification process",635,29,0.456889478942484,1
"BP","cell junction assembly",533,29,0.388035207644708,1
"BP","regulation of system process",594,29,0.395988646609137,1
"BP","regulation of secretion",636,29,0.455375208807564,1
"BP","negative regulation of cellular component organization",749,29,0.822653253776298,1
"BP","regulation of vesicle-mediated transport",552,29,0.269636073221211,1
"BP","regulation of cytokine production",891,28,0.798812209566945,1
"BP","protein phosphorylation",667,28,0.794945856523917,1
"BP","inflammatory response",958,28,0.89991137576563,1
"BP","regulation of defense response",915,28,0.87593442483575,1
"BP","blood vessel morphogenesis",730,28,0.780428871558255,1
"BP","protein maturation",610,28,0.162111605561177,1
"BP","establishment of organelle localization",394,28,0.0154545745364263,1
"BP","plasma membrane bounded cell projection assembly",602,28,0.529655880335708,1
"BP","cellular response to nitrogen compound",682,28,0.721602828766639,1
"BP","microtubule cytoskeleton organization",687,27,0.756754919997753,1
"BP","generation of precursor metabolites and energy",474,27,0.0287970833599241,1
"BP","DNA repair",622,27,0.396483643159528,1
"BP","microtubule-based movement",492,27,0.0832947460950919,1
"BP","embryo development ending in birth or egg hatching",717,27,0.911476721914692,1
"BP","epithelial cell differentiation",764,27,0.853099100386292,1
"BP","regulation of cell projection organization",668,27,0.924281651621335,1
"BP","nucleobase-containing compound catabolic process",656,27,0.361033405676265,1
"BP","chordate embryonic development",698,27,0.886830292800092,1
"BP","tissue morphogenesis",654,27,0.808906898192888,1
"BP","positive regulation of immune response",809,27,0.811516128492412,1
"BP","cell division",646,27,0.623106550689173,1
"BP","axon development",535,27,0.665930203686354,1
"BP","regulation of molecular function",895,27,0.988442251301879,1
"BP","regulation of secretion by cell",582,27,0.42141004534479,1
"BP","angiogenesis",641,26,0.626373325920906,1
"BP","actin filament organization",458,26,0.302400095496003,1
"BP","axonogenesis",468,26,0.525346773767823,1
"BP","post-transcriptional regulation of gene expression",1065,26,0.728939993878454,1
"BP","positive regulation of cell development",450,26,0.203814860197082,1
"BP","regulation of hormone levels",555,26,0.275451616695835,1
"BP","cell growth",495,26,0.378976071277637,1
"BP","modulation of chemical synaptic transmission",527,26,0.580586134715478,1
"BP","response to growth factor",800,26,0.967679404517588,1
"BP","apoptotic signaling pathway",638,26,0.583170705136381,1
"BP","regulation of trans-synaptic signaling",528,26,0.583558463032449,1
"BP","regulation of plasma membrane bounded cell projection organization",649,26,0.931761782563653,1
"BP","cell surface receptor protein tyrosine kinase signaling pathway",682,25,0.931418925977389,1
"BP","muscle organ development",370,25,0.0415569007452541,1
"BP","endomembrane system organization",627,25,0.711089957589396,1
"BP","energy derivation by oxidation of organic compounds",415,25,0.0174399411532954,1
"BP","signal release",511,25,0.390328934858648,1
"BP","positive regulation of response to external stimulus",700,25,0.664255726885263,1
"BP","small molecule biosynthetic process",620,25,0.442302544356649,1
"BP","negative regulation of cell differentiation",734,25,0.899380097489561,1
"BP","embryonic morphogenesis",636,25,0.898590733440408,1
"BP","regulation of DNA metabolic process",493,25,0.168485652208647,1
"BP","positive regulation of protein metabolic process",812,25,0.97745306541571,1
"BP","muscle tissue development",450,25,0.232206514968265,1
"BP","skeletal system development",541,24,0.681583952567328,1
"BP","muscle system process",482,24,0.324764855670035,1
"BP","translation",761,24,0.731168111757878,1
"BP","sensory perception",917,24,0.787343222507781,1
"BP","striated muscle tissue development",427,24,0.222451132841059,1
"BP","regulation of phosphate metabolic process",580,24,0.661350176239669,1
"BP","myeloid cell differentiation",477,24,0.240206758723179,1
"BP","protein localization to organelle",934,24,0.998429281283757,1
"BP","positive regulation of locomotion",636,24,0.794619660060279,1
"BP","proteasome-mediated ubiquitin-dependent protein catabolic process",501,24,0.330701943500922,1
"BP","male gamete generation",668,24,0.640797799032634,1
"BP","regulation of phosphorus metabolic process",581,24,0.66720135377639,1
"BP","cellular response to growth factor stimulus",769,24,0.978874450563428,1
"BP","regulation of cellular response to stress",545,24,0.526294493178901,1
"BP","organophosphate biosynthetic process",612,24,0.665146254144562,1
"BP","morphogenesis of an epithelium",534,23,0.733234062860349,1
"BP","autophagy",613,23,0.798373385807705,1
"BP","small GTPase-mediated signal transduction",503,23,0.773570745630127,1
"BP","spermatogenesis",650,23,0.667928291969363,1
"BP","response to nutrient levels",540,23,0.599945377378544,1
"BP","regulation of membrane potential",473,23,0.4931019086374,1
"BP","regulation of cytoskeleton organization",540,23,0.754628841605605,1
"BP","regulation of cellular localization",539,23,0.657267305012409,1
"BP","process utilizing autophagic mechanism",613,23,0.798373385807705,1
"BP","mononuclear cell differentiation",535,23,0.549153507765987,1
"BP","positive regulation of cell motility",619,23,0.808496478478829,1
"BP","immune effector process",663,22,0.747493691128481,1
"BP","phospholipid metabolic process",381,22,0.114690969164231,1
"BP","sensory organ development",638,22,0.963625550062624,1
"BP","positive regulation of catabolic process",656,22,0.839405160308908,1
"BP","positive regulation of cellular component biogenesis",530,22,0.786042319778262,1
"BP","regulation of developmental growth",330,22,0.106712642618318,1
"BP","epithelial cell proliferation",495,22,0.455010914969116,1
"BP","regulation of synapse structure or activity",326,22,0.126794940748749,1
"BP","regulation of synapse organization",319,22,0.106896927578761,1
"BP","regulation of anatomical structure size",512,22,0.747822901713858,1
"BP","regulation of hemopoiesis",438,22,0.236714420890021,1
"BP","immune response-regulating signaling pathway",594,21,0.73622801419378,1
"BP","regulation of response to biotic stimulus",606,21,0.714264376169703,1
"BP","carbohydrate metabolic process",571,21,0.769586454511375,1
"BP","nucleoside phosphate metabolic process",658,21,0.888452809316979,1
"BP","chemotaxis",461,21,0.357166568513488,1
"BP","regulation of mitotic cell cycle",524,21,0.648423570348238,1
"BP","response to wounding",591,21,0.8793966959511,1
"BP","lymphocyte differentiation",435,21,0.345273090675712,1
"BP","positive regulation of cell migration",592,21,0.866361994331317,1
"BP","cell-substrate adhesion",366,21,0.325129589557391,1
"BP","cellular response to hormone stimulus",682,21,0.980790499302935,1
"BP","regulation of actin filament-based process",395,21,0.434152414154252,1
"BP","regulation of transmembrane transport",444,21,0.393996383773503,1
"BP","taxis",463,21,0.361254975135286,1
"BP","positive regulation of programmed cell death",582,21,0.789216093563028,1
"BP","regulation of monoatomic ion transport",443,21,0.376711630434045,1
"BP","positive regulation of MAPK cascade",470,21,0.555852586836542,1
"BP","positive regulation of cell adhesion",505,21,0.731069992306018,1
"BP","glycerolipid metabolic process",390,21,0.194692471117395,1
"BP","organelle fission",499,21,0.462202567956986,1
"BP","chromosome organization",575,21,0.670962058135824,1
"BP","nucleobase-containing small molecule metabolic process",683,21,0.921362837330522,1
"BP","establishment of protein localization to organelle",467,21,0.377220407493225,1
"BP","protein localization to membrane",455,21,0.645197800256413,1
"BP","regulation of apoptotic signaling pathway",402,21,0.167075553429103,1
"BP","nuclear division",449,20,0.342098828055647,1
"BP","regulation of cell growth",410,20,0.521468527456672,1
"BP","activation of immune response",613,20,0.845689941075604,1
"BP","regulation of leukocyte activation",589,20,0.833725351152875,1
"BP","immune response-activating signaling pathway",550,20,0.733106569120901,1
"BP","mRNA processing",489,20,0.419632597733338,1
"BP","muscle contraction",369,20,0.226388345654076,1
"BP","response to bacterium",711,20,0.84595783771996,1
"BP","lipid localization",481,20,0.500917488689331,1
"BP","Wnt signaling pathway",479,20,0.794946274764671,1
"BP","forebrain development",414,20,0.625900214496791,1
"BP","positive regulation of defense response",576,20,0.658478888213229,1
"BP","monocarboxylic acid metabolic process",636,20,0.850216378866646,1
"BP","positive regulation of apoptotic process",563,20,0.808848503609406,1
"BP","cell cycle phase transition",571,20,0.851411083910404,1
"BP","cellular respiration",318,20,0.0157195144206151,1
"BP","regulation of cell activation",650,20,0.936427361859947,1
"BP","negative regulation of protein metabolic process",654,20,0.899062802130555,1
"BP","regulation of establishment of protein localization",550,20,0.825558357409372,1
"BP","cellular response to lipid",674,20,0.948381205884264,1
"BP","positive regulation of cytokine production",524,19,0.620494212832577,1
"BP","amino acid metabolic process",280,19,0.0182567865381834,1
"BP","glycerophospholipid metabolic process",297,19,0.0870752002471357,1
"BP","calcium ion transport",434,19,0.600674664618816,1
"BP","lipid transport",459,19,0.51602704931153,1
"BP","chromosome segregation",431,19,0.387899504826345,1
"BP","hormone transport",342,19,0.177566205163246,1
"BP","ribonucleoprotein complex biogenesis",464,19,0.23490983569995,1
"BP","mitotic cell cycle phase transition",459,19,0.612876229034572,1
"BP","cognition",331,19,0.273904197457731,1
"BP","negative regulation of transport",465,19,0.432492518995126,1
"BP","regulation of lymphocyte activation",519,19,0.737890231417628,1
"BP","nucleic acid catabolic process",467,19,0.302183462845641,1
"BP","regulation of supramolecular fiber organization",390,19,0.519971694650509,1
"BP","ossification",450,18,0.743356629922195,1
"BP","in utero embryonic development",426,18,0.675298726651543,1
"BP","heart process",273,18,0.0800052049524634,1
"BP","RNA catabolic process",437,18,0.290965492322264,1
"BP","exocytosis",362,18,0.39586087411563,1
"BP","response to oxidative stress",412,18,0.491737088324875,1
"BP","synapse assembly",281,18,0.196870068522513,1
"BP","response to radiation",454,18,0.649034687628853,1
"BP","response to metal ion",346,18,0.281623391877474,1
"BP","positive regulation of organelle organization",514,18,0.88245531556588,1
"BP","negative regulation of organelle organization",362,18,0.384422521327386,1
"BP","macroautophagy",401,18,0.435478370045188,1
"BP","cytokine-mediated signaling pathway",553,18,0.746402238106793,1
"BP","cellular component disassembly",478,18,0.761720378257914,1
"BP","intracellular receptor signaling pathway",444,18,0.696824621084306,1
"BP","regulation of actin cytoskeleton organization",351,18,0.497893444035103,1
"BP","T cell activation",586,18,0.936076988120005,1
"BP","muscle cell differentiation",437,18,0.768105217729127,1
"BP","hormone secretion",330,18,0.209516257721684,1
"BP","Golgi vesicle transport",310,18,0.14386692093039,1
"BP","positive regulation of secretion",329,18,0.19556107915471,1
"BP","neuron apoptotic process",317,18,0.193863960122395,1
"BP","developmental growth involved in morphogenesis",245,18,0.116696777028067,1
