"ENTREZID","SYMBOL","GENENAME"
"26115","TANC2","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2"
"26119","LDLRAP1","low density lipoprotein receptor adaptor protein 1"
"26207","PITPNC1","phosphatidylinositol transfer protein cytoplasmic 1"
"26234","FBXL5","F-box and leucine rich repeat protein 5"
"26235","FBXL4","F-box and leucine rich repeat protein 4"
"26275","HIBCH","3-hydroxyisobutyryl-CoA hydrolase"
"2632","GBE1","1,4-alpha-glucan branching enzyme 1"
"26528","DAZAP1","DAZ associated protein 1"
"26788","SNORD60","small nucleolar RNA, C/D box 60"
"26801","SNORD48","small nucleolar RNA, C/D box 48"
"27086","FOXP1","forkhead box P1"
"27107","ZBTB11","zinc finger and BTB domain containing 11"
"27109","DMAC2L","distal membrane arm assembly component 2 like"
"27153","ZNF777","zinc finger protein 777"
"27229","TUBGCP4","tubulin gamma complex component 4"
"27244","SESN1","sestrin 1"
"27252","KLHL20","kelch like family member 20"
"2790","GNG10","G protein subunit gamma 10"
"2794","GNL1","G protein nucleolar 1 (putative)"
"2804","GOLGB1","golgin B1"
"283685","GOLGA6L2","golgin A6 family like 2"
"283932","FBXL19-AS1","FBXL19 antisense RNA 1"
"283933","ZNF843","zinc finger protein 843"
"284058","KANSL1","KAT8 regulatory NSL complex subunit 1"
"284184","NDUFAF8","NADH:ubiquinone oxidoreductase complex assembly factor 8"
"284369","SIGLECL1","SIGLEC family like 1"
"284904","SEC14L4","SEC14 like lipid binding 4"
"285194","TUSC7","tumor suppressor candidate 7"
"286365","OR13D1","olfactory receptor family 13 subfamily D member 1"
"288","ANK3","ankyrin 3"
"28968","SLC6A16","solute carrier family 6 member 16"
"28974","C19orf53","chromosome 19 open reading frame 53"
"28990","ASTE1","asteroid structure-specific endonuclease 1"
"29063","ZCCHC4","zinc finger CCHC-type containing 4"
"29070","CFAP263","cilia and flagella associated protein 263"
"29081","METTL5","methyltransferase 5, N6-adenosine"
"29119","CTNNA3","catenin alpha 3"
"2913","GRM3","glutamate metabotropic receptor 3"
"2967","GTF2H3","general transcription factor IIH subunit 3"
"29760","BLNK","B cell linker"
"29850","TRPM5","transient receptor potential cation channel subfamily M member 5"
"29967","LRP12","LDL receptor related protein 12"
"29970","SCHIP1","schwannomin interacting protein 1"
"29988","SLC2A8","solute carrier family 2 member 8"
"307","ANXA4","annexin A4"
"3091","HIF1A","hypoxia inducible factor 1 subunit alpha"
"3097","HIVEP2","HIVEP zinc finger 2"
"3122","HLA-DRA","major histocompatibility complex, class II, DR alpha"
"3131","HLF","HLF transcription factor, PAR bZIP family member"
"3146","HMGB1","high mobility group box 1"
"3149","HMGB3","high mobility group box 3"
"317719","KLHL10","kelch like family member 10"
"3221","HOXC4","homeobox C4"
"3222","HOXC5","homeobox C5"
"3223","HOXC6","homeobox C6"
"3239","HOXD13","homeobox D13"
"3293","HSD17B3","hydroxysteroid 17-beta dehydrogenase 3"
"3355","HTR1F","5-hydroxytryptamine receptor 1F"
